iter	Passed	Remaining
556	14441	6300
557	14467	6274
558	14493	6248
559	14518	6222
560	14545	6196
561	14570	6170
562	14595	6144
563	14621	6118
564	14649	6093
565	14677	6068
566	14704	6042
567	14731	6016
568	14754	5990
569	14779	5963
570	14803	5937
571	14829	5910
572	14854	5884
573	14879	5858
574	14906	5832
575	14932	5807
576	14959	5781
577	14985	5755
578	15013	5730
579	15039	5704
580	15066	5679
581	15091	5652
582	15117	5626
583	15145	5601
584	15174	5576
585	15200	5551
586	15227	5525
587	15253	5499
588	15280	5473
589	15307	5448
590	15332	5422
591	15360	5396
592	15387	5371
593	15412	5345
594	15436	5318
595	15466	5293
596	15498	5270
597	15527	5245
598	15558	5220
599	15586	5195
600	15616	5170
601	15647	5146
602	15676	5121
603	15713	5099
604	15754	5078
605	15785	5053
606	15811	5027
607	15835	5000
608	15860	4974
609	15887	4948
610	15915	4923
611	15940	4896
612	15966	4870
613	15991	4844
614	16014	4817
615	16040	4791
616	16065	4764
617	16090	4738
618	16116	4712
619	16144	4687
620	16171	4661
621	16196	4635
622	16222	4608
623	16248	4582
624	16273	4556
625	16304	4531
626	16331	4506
627	16357	4479
628	16382	4453
629	16408	4427
630	16438	4402
631	16462	4375
632	16487	4349
633	16513	4323
634	16539	4297
635	16566	4271
636	16591	4245
637	16616	4219
638	16643	4193
639	16667	4166
640	16699	4142
641	16729	4117
642	16755	4091
643	16779	4064
644	16808	4039
645	16837	4013
646	16863	3987
647	16890	3962
648	16917	3936
649	16942	3909
650	16969	3883
651	16996	3858
652	17022	3832
653	17048	3805
654	17078	3780
655	17107	3755
656	17132	3728
657	17156	3702
658	17179	3675
659	17201	3648
660	17228	3622
661	17254	3596
662	17278	3570
663	17303	3544
664	17329	3518
665	17354	3491
666	17379	3465
667	17406	3439
668	17430	3413
669	17455	3386
670	17480	3360
671	17506	3334
672	17533	3308
673	17563	3283
674	17587	3256
675	17612	3230
676	17638	3204
677	17665	3178
678	17693	3153
679	17718	3126
680	17750	3101
681	17779	3076
682	17802	3049
683	17829	3023
684	17856	2997
685	17885	2972
686	17911	2946
687	17936	2919
688	17966	2894
689	17993	2868
690	18019	2842
691	18043	2816
692	18067	2789
693	18091	2763
694	18118	2737
695	18146	2711
696	18172	2685
697	18198	2659
698	18232	2634
699	18258	2608
700	18284	2582
701	18310	2556
702	18336	2530
703	18363	2504
704	18390	2478
705	18417	2452
706	18442	2425
707	18467	2399
708	18499	2374
709	18525	2348
710	18552	2322
711	18575	2295
712	18601	2269
713	18631	2244
714	18660	2218
715	18690	2192
716	18718	2166
717	18743	2140
718	18767	2114
719	18792	2088
720	18817	2061
721	18845	2035
722	18870	2009
723	18894	1983
724	18920	1957
725	18946	1931
726	18973	1905
727	18997	1878
728	19023	1852
729	19048	1826
730	19073	1800
731	19096	1773
732	19128	1748
733	19153	1722
734	19178	1696
735	19204	1669
736	19231	1643
737	19258	1617
738	19284	1591
739	19309	1565
740	19336	1539
741	19362	1513
742	19385	1487
743	19412	1461
744	19439	1435
745	19467	1409
746	19492	1383
747	19517	1356
748	19547	1331
749	19572	1304
750	19597	1278
751	19621	1252
752	19648	1226
753	19676	1200
754	19702	1174
755	19727	1148
756	19758	1122
757	19787	1096
758	19810	1070
759	19834	1043
760	19859	1017
761	19886	991
762	19913	965
763	19941	939
764	19971	913
765	20000	887
766	20024	861
767	20049	835
768	20074	809
769	20100	783
770	20124	756
771	20148	730
772	20176	704
773	20204	678
774	20227	652
775	20253	626
776	20279	600
777	20304	574
778	20329	548
779	20354	521
780	20381	495
781	20412	469
782	20440	443
783	20465	417
784	20489	391
785	20513	365
786	20536	339
787	20562	313
788	20589	287
789	20613	260
790	20638	234
791	20669	208
792	20693	182
793	20719	156
794	20742	130
795	20767	104
796	20790	78
797	20816	52
798	20843	26
799	20870	0
