iter	AUC	RMSE
433	0.9064922013	3.572790505
434	0.9065463649	3.572101347
435	0.9066473505	3.570951475
436	0.9067605719	3.569898195
437	0.9068936967	3.568719404
438	0.9070385679	3.567027724
439	0.9070928945	3.566307525
440	0.9071439584	3.565636427
441	0.9072051371	3.565016957
442	0.9073149324	3.563757587
443	0.9073960146	3.562882932
444	0.9075131514	3.561767755
445	0.907664222	3.560281117
446	0.9077254007	3.559362285
447	0.9078464529	3.557754464
448	0.9079347134	3.556667396
449	0.9081162917	3.554849496
450	0.9081761653	3.554177379
451	0.9082348968	3.553379864
452	0.9083203838	3.552165403
453	0.9084964153	3.550163622
454	0.9085657512	3.549364399
455	0.9086231776	3.548661233
456	0.9087360727	3.547500211
457	0.9088850224	3.545822918
458	0.9089744249	3.544700527
459	0.9090816099	3.543657654
460	0.9091602449	3.542589085
461	0.9092899438	3.541213257
462	0.909357485	3.540446774
463	0.9093837511	3.539963905
464	0.9095126342	3.538786591
465	0.9095932269	3.53789807
466	0.9096916023	3.536749232
467	0.9097416872	3.536084794
468	0.9098110231	3.535110798
469	0.9098886792	3.534237007
470	0.9099448005	3.533643999
471	0.9100407287	3.532309625
472	0.9101699381	3.531074254
473	0.9102272014	3.530373188
474	0.9103768036	3.528991275
475	0.9104268886	3.528456342
476	0.9105123756	3.527543004
477	0.9105776329	3.526845891
478	0.9107742204	3.524912367
479	0.9108740641	3.523902956
480	0.9109621614	3.522897202
481	0.9110897394	3.5217194
482	0.9112497828	3.519882718
483	0.9113155295	3.51890114
484	0.911467579	3.517474607
485	0.9115248422	3.516917776
486	0.9115719906	3.51618127
487	0.9116357796	3.515464387
488	0.9116706922	3.515054188
489	0.9117052786	3.514367117
490	0.9117971282	3.513285037
491	0.9118405243	3.512722649
492	0.9119235642	3.511824872
493	0.9119813168	3.511194792
494	0.9121009008	3.509702004
495	0.9121669738	3.509015957
496	0.9123182075	3.507578156
497	0.9124262083	3.506503631
498	0.9124960336	3.505688089
499	0.9125748317	3.504673682
500	0.9126552613	3.503638247
501	0.9127735401	3.502352537
502	0.9128813778	3.501349877
503	0.9129714328	3.500375403
504	0.9130499047	3.499473095
505	0.9131729146	3.498099897
506	0.9132156582	3.497543112
507	0.9133367104	3.496507112
508	0.9134223606	3.495680451
509	0.9134652672	3.495151802
510	0.9135628268	3.494132587
511	0.9135923558	3.493649672
512	0.9137426106	3.49214003
513	0.9138099888	3.491484845
514	0.9139243521	3.49032316
515	0.9139931986	3.489625291
516	0.9141152297	3.488092454
517	0.9141803238	3.487162356
518	0.9142442759	3.486424192
519	0.9143813162	3.484770273
520	0.9144969847	3.483540446
521	0.9146371247	3.481942366
522	0.9147027083	3.481173641
523	0.9148198451	3.480004106
524	0.9148784135	3.479322625
525	0.9149443233	3.478588863
526	0.9150438407	3.477538607
527	0.9151355271	3.476555595
528	0.915226561	3.475679731
529	0.9153213472	3.474345108
530	0.9154725809	3.472938057
531	0.9155531737	3.471843033
532	0.9156269144	3.471025257
533	0.9157102805	3.469868522
534	0.9157946256	3.46864528
535	0.9159520587	3.467043609
536	0.9159822402	3.466584313
537	0.9160468449	3.465771861
538	0.9161372263	3.464645832
539	0.9161754018	3.464182315
540	0.9162564839	3.463189554
541	0.9162874811	3.462757263
542	0.9163949925	3.461599031
543	0.9166351392	3.459365645
544	0.9167092063	3.458493609
545	0.9167663064	3.457761792
546	0.9168289533	3.457174041
547	0.9169617519	3.455650555
548	0.9170477284	3.454373852
549	0.917150998	3.453082547
550	0.9172100558	3.45230229
551	0.9172663402	3.451653567
552	0.91731512	3.451167837
553	0.9174379668	3.449691836
554	0.9175596717	3.448259334
555	0.9176032309	3.44758634
556	0.9176962225	3.446632482
557	0.9177208571	3.446214718
558	0.9177622955	3.445625185
559	0.9178440302	3.444567786
560	0.9179318013	3.443380015
561	0.9179517047	3.442961414
562	0.9180205511	3.442305183
563	0.9180709624	3.441603629
564	0.9181254522	3.440962726
565	0.9182670605	3.43942627
566	0.9183218766	3.438670919
567	0.918455654	3.43713872
568	0.918521727	3.436343398
569	0.9185804585	3.435707177
570	0.9186626827	3.43482834
571	0.9187011845	3.434400348
572	0.9187444174	3.433942197
573	0.9188485028	3.43271104
574	0.9190012048	3.431030491
575	0.9190767401	3.429745125
576	0.9191356348	3.429233412
577	0.9191695686	3.428805346
578	0.9193084034	3.42743562
579	0.9193343432	3.427003344
580	0.9194028633	3.426021602
581	0.9194294557	3.425568661
582	0.9194950392	3.424820468
583	0.9196204963	3.423446079
584	0.9198192047	3.421525471
585	0.9198921297	3.420808103
586	0.9199647284	3.419781899
587	0.9200384692	3.418853367
588	0.9201278716	3.417839352
589	0.9202645856	3.416506087
590	0.9203388158	3.415578702
591	0.9204714512	3.413953444
592	0.9205647691	3.412908921
593	0.9206254583	3.412312576
594	0.9206504192	3.411956395
595	0.9208377076	3.410137647
596	0.9209556601	3.408792972
597	0.9210085185	3.408201177
598	0.9210829118	3.407380272
599	0.9211377279	3.406601553
600	0.9211739457	3.406117982
601	0.9212457287	3.405168794
602	0.9213232217	3.404340663
603	0.9214047933	3.403460822
604	0.921461404	3.402811466
605	0.9215566796	3.40163891
606	0.9216245472	3.400544195
607	0.9216731638	3.399759909
608	0.9217012245	3.399243715
609	0.9218137933	3.397927538
610	0.921986725	3.396280304
611	0.9220221271	3.39578703
612	0.922110877	3.394762798
613	0.9222529747	3.393116855
614	0.9223258997	3.392456545
615	0.9223903413	3.391658262
616	0.9224285168	3.391231272
617	0.9224510305	3.390909308
618	0.9225043784	3.390214331
619	0.9226048746	3.389102757
620	0.9227776432	3.387320465
621	0.9228903751	3.386138967
622	0.9229424178	3.385584595
623	0.9230434034	3.384462399
624	0.9230850049	3.383970636
625	0.9231535251	3.38298881
626	0.9232618521	3.381529943
627	0.923346034	3.380499307
628	0.923389267	3.379964728
629	0.9234612131	3.379173119
630	0.9236090208	3.377468403
631	0.9236289243	3.377105814
632	0.9236744413	3.37660015
633	0.9237524237	3.375736947
634	0.9238193124	3.374908817
635	0.9238707025	3.37436745
636	0.9239367755	3.373638352
637	0.92403874	3.372629313
638	0.9241144384	3.371641199
639	0.9241664811	3.370921438
640	0.924267793	3.369691226
641	0.9243328871	3.368911445
642	0.9243904767	3.368181391
643	0.924483142	3.367107076
644	0.9245541093	3.366263501
645	0.924626708	3.365187545
646	0.9247449868	3.364133418
647	0.924829495	3.363009782
648	0.9249368432	3.361898395
649	0.9250337502	3.361061
650	0.9251618176	3.359555211
651	0.925259051	3.358474438
652	0.9253267554	3.357736351
653	0.9253742301	3.357042342
654	0.9254776628	3.355858301
655	0.9255680442	3.35483169
656	0.9256589149	3.353921803
657	0.9257067159	3.353216626
658	0.9257515802	3.352662409
659	0.9257643054	3.352497071
660	0.9258233632	3.35178329
661	0.9258961251	3.350777477
662	0.9259941742	3.349612068
663	0.926042954	3.349028599
664	0.9261232204	3.348170503
665	0.9262359524	3.347079543
666	0.926339222	3.345992202
667	0.9263870229	3.345351093
668	0.9264255247	3.344893188
669	0.9264829511	3.344361438
670	0.926510196	3.34401585
671	0.9265793688	3.343259549
672	0.92661836	3.342763637
673	0.9267010736	3.341719009
674	0.9267443065	3.341084748
675	0.9267992858	3.340547926
676	0.9268813468	3.339660325
677	0.9269616132	3.338826912
678	0.9270041936	3.338147928
679	0.9270980009	3.336965441
680	0.9272185637	3.335656724
681	0.9273078031	3.334351585
682	0.9273353743	3.334040924
683	0.9274012841	3.333167761
684	0.9275228258	3.331874025
685	0.9276716124	3.330197297
686	0.9277499211	3.329293951
687	0.9278107735	3.328283359
688	0.9278957711	3.327244369
689	0.927927584	3.326712022
690	0.9279789741	3.325956502
691	0.9280160076	3.325549604
692	0.9281010052	3.324782891
693	0.9281900814	3.323711426
694	0.9282737738	3.322775661
695	0.9284251707	3.321083374
696	0.928489286	3.319965026
697	0.9285455704	3.31930837
698	0.9286012022	3.31841361
699	0.928628284	3.317984601
700	0.928730901	3.31673167
701	0.9287814754	3.31608501
702	0.9288506481	3.315282191
703	0.9289111742	3.314481871
704	0.9289927458	3.313330013
705	0.9291363118	3.311983901
706	0.9291769345	3.311168167
707	0.9292679684	3.310208815
708	0.9294084347	3.308502165
709	0.92948397	3.307643335
710	0.929584303	3.306210253
711	0.9296443397	3.305640979
712	0.9297229747	3.304703357
713	0.929840601	3.303233835
714	0.9298869336	3.302674993
715	0.930002439	3.30105757
716	0.9300968989	3.300001821
717	0.9301874434	3.299099139
718	0.9302425858	3.298391083
719	0.9302688518	3.297912899
720	0.9303331302	3.297049343
721	0.930443415	3.295707027
722	0.9304664182	3.295371827
723	0.9304820799	3.295169216
724	0.9305065514	3.294675901
725	0.9305417903	3.294142253
726	0.9306129208	3.29310857
727	0.9306448968	3.2927374
728	0.9307205953	3.291806529
729	0.9308602458	3.290406201
730	0.9309175091	3.289722385
731	0.930932192	3.289425596
732	0.931018821	3.28821321
733	0.9310569965	3.287679417
734	0.9310904409	3.287265016
735	0.9311751122	3.286450291
736	0.9312482003	3.285543579
737	0.9313165573	3.284451859
738	0.9313898086	3.283412891
739	0.9314356518	3.282814305
740	0.9314968305	3.281792082
741	0.9315447946	3.281130914
742	0.9315593144	3.280825312
743	0.9316446383	3.279760367
744	0.931728657	3.278567834
745	0.9318045186	3.277419487
746	0.9319010993	3.276235267
747	0.9319190451	3.275984524
748	0.9320164416	3.274790364
749	0.9320387922	3.274544349
750	0.9320893666	3.273945549
751	0.932144509	3.273148502
752	0.9321901891	3.272402055
753	0.932307489	3.271193697
754	0.9323592054	3.270554112
755	0.9323774774	3.270326646
756	0.9324489341	3.269220404
757	0.9325287112	3.268064527
758	0.9325894004	3.267338295
759	0.9326551471	3.266501938
760	0.9326879389	3.266109205
761	0.9327680422	3.265070497
762	0.9328628284	3.263993268
763	0.9329822492	3.262798742
764	0.9330192827	3.262307079
765	0.9330630051	3.261553573
766	0.9331297306	3.260679281
767	0.933176879	3.260120644
768	0.9332015136	3.259645008
769	0.933291895	3.258777496
770	0.9333165296	3.258303367
771	0.9333649831	3.257671488
772	0.9334057689	3.257106537
773	0.9334473704	3.256550734
774	0.9334878299	3.2561358
775	0.9335325312	3.255307452
776	0.9336287856	3.254414315
777	0.9336929009	3.253610459
778	0.933740865	3.252969883
779	0.9337697413	3.252639495
780	0.9337981283	3.252338878
781	0.9338783947	3.251244416
782	0.9339673077	3.250083289
783	0.9339930844	3.249741103
784	0.9340624202	3.248945733
785	0.9340896651	3.248452792
786	0.9341276775	3.247919116
787	0.9341844513	3.24730456
788	0.9342474246	3.246367998
789	0.9343010987	3.245789697
790	0.9343539571	3.244874133
791	0.9344593476	3.243461491
792	0.934479251	3.243120299
793	0.9345143268	3.242299015
794	0.9345944301	3.241416566
795	0.9346285271	3.240931273
796	0.9346376631	3.240707945
797	0.9347476216	3.239563055
798	0.9348169574	3.238480063
799	0.9348774835	3.237807841
